Part Number,Series,Description,Price,Discount
207-1331/60493338,,"Gelbox for 221 and 2773 12AWG, Blister",$5.0441,
207-1332/60493339,,"Gelbox for 221 and 2773 12AWG, Blister",$6.0506,
207-1333/60493341,,"Gelbox for 221 and 2773 12AWG, Blister",$7.4505,
207-1372,,"Gelbox for 221 Inline, Order in multiples of 4",$7.5083,
207-1373,,Gelbox for 221 Inline - Order in multiples of 4,$8.0520,
207-1431/60489010,,"Gelbox for 221 10AWG, Blister",$7.2306,
207-1432/60489011,,"Gelbox for 221 10AWG, Blister",$8.3297,
207-1433/60489012,,"Gelbox for 221 10AWG, Blister",$9.6370,
209-501,,WSB Quick marking system,$3.9265,
209-701,,WSB Quick marking system,$3.9265,
210-112,,Steel carrier rail,$8.7307,
210-197,,Steel carrier rail; 35 x 15 mm; 1.5 mm thick; 2; m long; slotted; similar to EN 60715,$17.0990,
210-648,,Operating tool; Blade: 2.5 x 0.4 mm; with a; partially insulated shaft; angled; short,$6.5877,
210-658,,Operating tool,$4.3114,
210-720,,Operating tool; Blade: 3.5 x 0.5 mm; with a; partially insulated shaft,$6.2483,
210-721,,Operating tool; Blade: 5.5 x 0.8 mm; with a; partially insulated shaft,$10.8724,
221-510,,221 LEVER-NUTS® mounting carrier; DIN rail; mounting/screw mounting; orange,$1.0333,
248-501,,Miniature WSB Quick marking system,$3.6493,
249-116,,Screwless end stop,$0.6931,
282-333,,End plate; 2 mm thick,$0.7142,
282-334,,End plate; 2 mm thick; gray,$0.7142,
282-402,,Adjacent jumper; insulated; Nominal current; 41 A,$0.7600,
282-696,,2-conductor automotive fuse tb,$5.0812,
713-1108,,1-conductor female plug,$8.4073,
713-1408,,"THT male header, 2-row",$2.7254,
721-102/026-000,,1-conductor female plug,$1.1242,
721-162/001-000,,THT male header,$0.4311,
721-462/001-000,,THT male header,$0.4311,
721-602,,1-conductor male connector,$1.4782,
734-102,,1-conductor female plug,$1.1547,
734-127,,Strain relief plate,$0.2772,
788-113,,Comb-style jumper bar; 2-way; insulated,$0.7405,
788-303,,Relay socket with relay and status,$11.8107,
788-304,,Relay socket with relay and status,$11.8107,
788-312,,Relay socket with relay and status,$13.1349,
793-4501,,WMB Multiple marking system,$3.9265,
793-501,,WMB Multiple marking system,$3.9265,
858-100,,Relay socket for industrial relays,$7.7448,
858-110,,Holding bracket for industrial relay,$0.4466,
858-354,,Socket with industrial relay,$19.7085,
890-1761,,"h-distribution connector 3-pole Cod. B, gray",$6.2372,
890-243,,Socket,$2.0789,
890-253,,Plug,$1.8787,
890-623,,"Mounting plate 3-pole, black",$0.3248,
